CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/25/2018,22:58:00,4E,5400 JAMESTOWNE CT,COMMON ASSAULT,I,,823,SOUTHWESTERN,Westgate,-76.70843,39.28302,"(39.28302, -76.70843)",ROW/TOWNHO,,1
06/25/2018,22:57:00,5D,2900 WILKENS AVE,BURGLARY,I,,832,SOUTHWESTERN,Wilhelm Park,-76.66512,39.27587,"(39.27587, -76.66512)",CAR LOT-NE,,1
06/25/2018,22:45:00,4A,2100 PENROSE AVE,AGG. ASSAULT,I,FIREARM,714,WESTERN,Penrose/Fayette Street Ou,-76.65064,39.29113,"(39.29113, -76.65064)",ROW/TOWNHO,,1
06/25/2018,22:40:00,4E,600 W LEXINGTON ST,COMMON ASSAULT,O,,121,CENTRAL,University Of Maryland,-76.62387,39.29142,"(39.29142, -76.62387)",STREET,,1
06/25/2018,22:30:00,6D,2600 E BIDDLE ST,LARCENY FROM AUTO,,,323,EASTERN,Biddle Street,-76.58036,39.30481,"(39.30481, -76.58036)",,,1
06/25/2018,22:30:00,6D,6000 BELAIR RD,LARCENY FROM AUTO,O,,425,NORTHEASTERN,Glenham-Belhar,-76.53834,39.34802,"(39.34802, -76.53834)",STREET,,1
06/25/2018,22:05:00,7A,5800 MORAVIA RD,AUTO THEFT,O,,443,NORTHEASTERN,Frankford,-76.54582,39.31751,"(39.31751, -76.54582)",OTHER - OU,,1
06/25/2018,22:02:00,4E,900 E PATAPSCO AVE,COMMON ASSAULT,I,,913,SOUTHERN,Brooklyn,-76.59678,39.23457,"(39.23457, -76.59678)",OTHER - IN,,1
06/25/2018,21:00:00,9S,2700 QUANTICO AV,SHOOTING,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.6644,39.33677,"(39.33677, -76.6644)",Street,,1
06/25/2018,21:00:00,9S,2700 QUANTICO AV,SHOOTING,,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.6644,39.33677,"(39.33677, -76.6644)",Street,,1
06/25/2018,21:55:00,6C,6700 HARFORD RD,LARCENY,O,,424,NORTHEASTERN,North Harford Road,-76.55155,39.36382,"(39.36382, -76.55155)",GAS STATIO,,1
06/25/2018,21:54:00,7A,2300 ORLEANS ST,AUTO THEFT,O,,221,SOUTHEASTERN,McElderry Park,-76.58404,39.29558,"(39.29558, -76.58404)",STREET,,1
06/25/2018,21:24:00,6G,4100 PULASKI HWY,LARCENY,I,,241,EASTERN,Kresson,-76.56277,39.29711,"(39.29711, -76.56277)",SPECIALTY,,1
06/25/2018,21:09:00,6C,3800 E LOMBARD ST,LARCENY,,,223,SOUTHEASTERN,Baltimore Highlands,-76.56552,39.2915,"(39.2915, -76.56552)",,,1
06/25/2018,21:00:00,4A,2700 QUANTICO AVE,AGG. ASSAULT,O,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.6644,39.33677,"(39.33677, -76.6644)",STREET,,1
06/25/2018,21:00:00,4A,2700 QUANTICO AVE,AGG. ASSAULT,O,FIREARM,614,NORTHWESTERN,Central Park Heights,-76.6644,39.33677,"(39.33677, -76.6644)",STREET,,1
06/25/2018,21:00:00,4C,2400 FREDERICK AVE,AGG. ASSAULT,I,OTHER,842,SOUTHWESTERN,Shipley Hill,-76.65457,39.28422,"(39.28422, -76.65457)",SHOPPING M,,1
06/25/2018,21:00:00,5A,1700 HOMESTEAD ST,BURGLARY,I,,411,NORTHEASTERN,Coldstream Homestead Mont,-76.59444,39.32016,"(39.32016, -76.59444)",ROW/TOWNHO,,1
06/25/2018,21:00:00,6D,1600 SHAKESPEARE ST,LARCENY FROM AUTO,O,,213,SOUTHEASTERN,Fells Point,-76.59496,39.28207,"(39.28207, -76.59496)",STREET,,1
06/25/2018,21:00:00,6D,3900 FRISBY ST,LARCENY FROM AUTO,O,,542,NORTHERN,Pen Lucy,-76.60619,39.33662,"(39.33662, -76.60619)",STREET,,1
06/25/2018,20:30:00,6D,1800 EUTAW PL,LARCENY FROM AUTO,O,,132,CENTRAL,Bolton Hill,-76.63089,39.30808,"(39.30808, -76.63089)",STREET,,1
06/25/2018,20:26:00,4C,3700 BELLE AVE,AGG. ASSAULT,O,OTHER,642,NORTHWESTERN,Callaway-Garrison,-76.67676,39.33354,"(39.33354, -76.67676)",YARD,,1
06/25/2018,20:00:00,4C,500 W PRATT ST,AGG. ASSAULT,O,OTHER,941,SOUTHERN,Downtown West,-76.62239,39.28622,"(39.28622, -76.62239)",STREET,,1
06/25/2018,20:00:00,6D,1100 COVINGTON ST,LARCENY FROM AUTO,O,,943,SOUTHERN,Riverside,-76.60701,39.2771,"(39.2771, -76.60701)",STREET,,1
06/25/2018,19:42:00,6J,2500 N CALVERT ST,LARCENY,I,,512,NORTHERN,Charles Village,-76.61432,39.31877,"(39.31877, -76.61432)",ROW/TOWNHO,,1
