CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/29/2018,4:24:00,5D,400 S CONKLING ST,BURGLARY,,,231,SOUTHEASTERN,Highlandtown,-76.56715,39.28719,"(39.28719, -76.56715)",,,1
06/29/2018,3:15:00,5D,4600 EASTERN AVE,BURGLARY,I,,242,SOUTHEASTERN,Greektown,-76.55717,39.28703,"(39.28703, -76.55717)",GROCERY/CO,,1
06/29/2018,2:01:00,4C,1600 E CHASE ST,AGG. ASSAULT,I,OTHER,313,EASTERN,Gay Street,-76.59538,39.30317,"(39.30317, -76.59538)",APT/CONDO,,1
06/29/2018,1:54:00,6G,700 S BROADWAY,LARCENY,,,213,SOUTHEASTERN,Fells Point,-76.59315,39.28327,"(39.28327, -76.59315)",,,1
06/29/2018,1:15:00,5A,1800 N SMALLWOOD ST,BURGLARY,I,,741,WESTERN,Easterwood,-76.65263,39.30892,"(39.30892, -76.65263)",ROW/TOWNHO,,1
06/29/2018,1:02:00,4B,5600 LOCH RAVEN BLVD,AGG. ASSAULT,O,KNIFE,415,NORTHEASTERN,Loch Raven,-76.58856,39.35952,"(39.35952, -76.58856)",STREET,,1
06/29/2018,0:59:00,7C,3600 BENSON AVE,AUTO THEFT,O,,832,SOUTHWESTERN,Violetville,-76.6743,39.26504,"(39.26504, -76.6743)",ALLEY,,1
06/29/2018,0:30:00,4D,2500 W FRANKLIN ST,AGG. ASSAULT,O,HANDS,842,WESTERN,Penrose/Fayette Street Ou,-76.65679,39.29329,"(39.29329, -76.65679)",PARKING LO,,1
06/29/2018,0:30:00,6E,4500 SPRINGDALE AVE,LARCENY,O,,622,NORTHWESTERN,Howard Park,-76.69399,39.3282,"(39.3282, -76.69399)",STREET,,1
06/29/2018,0:25:00,4E,4200 ERDMAN AVE,COMMON ASSAULT,O,,333,NORTHEASTERN,Orangeville Industrial Ar,-76.56757,39.31328,"(39.31328, -76.56757)",GAS STATIO,,1
06/29/2018,0:00:00,5D,4700 CHARLESTON ST,BURGLARY,O,,913,SOUTHERN,Brooklyn,-76.59568,39.22239,"(39.22239, -76.59568)",YARD,,1
06/28/2018,23:59:00,4E,300 N CALHOUN ST,COMMON ASSAULT,I,,711,WESTERN,Franklin Square,-76.63973,39.29242,"(39.29242, -76.63973)",ROW/TOWNHO,,1
06/28/2018,23:30:00,4D,200 N ELLWOOD AVE,AGG. ASSAULT,I,HANDS,224,SOUTHEASTERN,Ellwood Park/Monument,-76.57347,39.29486,"(39.29486, -76.57347)",ROW/TOWNHO,,1
06/28/2018,23:17:00,4A,600 DUMBARTON AVE,AGG. ASSAULT,I,FIREARM,542,NORTHERN,Pen Lucy,-76.60646,39.33809,"(39.33809, -76.60646)",ROW/TOWNHO,,1
06/28/2018,23:12:00,6B,600 ANNABEL AVE,LARCENY,O,,913,SOUTHERN,Brooklyn,-76.6013,39.23719,"(39.23719, -76.6013)",ALLEY,,1
06/28/2018,23:10:00,4E,400 E BALTIMORE ST,COMMON ASSAULT,O,,111,CENTRAL,Downtown,-76.61015,39.28976,"(39.28976, -76.61015)",STREET,,1
06/28/2018,23:00:00,7A,500 N KRESSON ST,AUTO THEFT,O,,333,EASTERN,Orangeville,-76.56033,39.29805,"(39.29805, -76.56033)",STREET,,1
06/28/2018,22:40:00,3AF,PRESTON ST & N LUZERNE AV,ROBBERY - STREET,O,FIREARM,332,EASTERN,Berea,-76.58131,39.30588,"(39.30588, -76.58131)",STREET,,1
06/28/2018,22:00:00,6D,200 E BARNEY ST,LARCENY FROM AUTO,O,,942,SOUTHERN,Riverside,-76.61005,39.26962,"(39.26962, -76.61005)",STREET,,1
06/28/2018,22:00:00,6J,500 ORKNEY RD,LARCENY,O,,523,NORTHERN,Belvedere,-76.60845,39.36299,"(39.36299, -76.60845)",YARD,,1
